,Employed total ;  Persons ;,Employed total ;  Persons ;,Employed total ;  Persons ;,Employed total ;  > Males ;,Employed total ;  > Males ;,Employed total ;  > Males ;,Employed total ;  > Females ;,Employed total ;  > Females ;,Employed total ;  > Females ;,> Employed full-time ;  Persons ;,> Employed full-time ;  Persons ;,> Employed full-time ;  Persons ;,> Employed full-time ;  > Males ;,> Employed full-time ;  > Males ;,> Employed full-time ;  > Males ;,> Employed full-time ;  > Females ;,> Employed full-time ;  > Females ;,> Employed full-time ;  > Females ;,> Employed part-time ;  Persons ;,> Employed part-time ;  > Males ;,> Employed part-time ;  > Females ;,Employment to population ratio ;  Persons ;,Employment to population ratio ;  Persons ;,Employment to population ratio ;  Persons ;,Employment to population ratio ;  > Males ;,Employment to population ratio ;  > Males ;,Employment to population ratio ;  > Males ;,Employment to population ratio ;  > Females ;,Employment to population ratio ;  > Females ;,Employment to population ratio ;  > Females ;,Unemployed total ;  Persons ;,Unemployed total ;  Persons ;,Unemployed total ;  Persons ;,Unemployed total ;  > Males ;,Unemployed total ;  > Males ;,Unemployed total ;  > Males ;,Unemployed total ;  > Females ;,Unemployed total ;  > Females ;,Unemployed total ;  > Females ;,> Unemployed looked for full-time work ;  Persons ;,> Unemployed looked for full-time work ;  > Males ;,> Unemployed looked for full-time work ;  > Females ;,> Unemployed looked for only part-time work ;  Persons ;,> Unemployed looked for only part-time work ;  > Males ;,> Unemployed looked for only part-time work ;  > Females ;,Unemployment rate ;  Persons ;,Unemployment rate ;  Persons ;,Unemployment rate ;  Persons ;,Unemployment rate ;  > Males ;,Unemployment rate ;  > Males ;,Unemployment rate ;  > Males ;,Unemployment rate ;  > Females ;,Unemployment rate ;  > Females ;,Unemployment rate ;  > Females ;,> Unemployment rate looked for full-time work ;  Persons ;,> Unemployment rate looked for full-time work ;  > Males ;,> Unemployment rate looked for full-time work ;  > Females ;,> Unemployment rate looked for only part-time work ;  Persons ;,> Unemployment rate looked for only part-time work ;  > Males ;,> Unemployment rate looked for only part-time work ;  > Females ;,Labour force total ;  Persons ;,Labour force total ;  Persons ;,Labour force total ;  Persons ;,Labour force total ;  > Males ;,Labour force total ;  > Males ;,Labour force total ;  > Males ;,Labour force total ;  > Females ;,Labour force total ;  > Females ;,Labour force total ;  > Females ;,Participation rate ;  Persons ;,Participation rate ;  Persons ;,Participation rate ;  Persons ;,Participation rate ;  > Males ;,Participation rate ;  > Males ;,Participation rate ;  > Males ;,Participation rate ;  > Females ;,Participation rate ;  > Females ;,Participation rate ;  > Females ;,Not in the labour force (NILF) ;  Persons ;,Not in the labour force (NILF) ;  > Males ;,Not in the labour force (NILF) ;  > Females ;,Civilian population aged 15 years and over ;  Persons ;,Civilian population aged 15 years and over ;  > Males ;,Civilian population aged 15 years and over ;  > Females ;
Feb-2011,,2812.2,2814.2,,1543.7,1544.6,,1268.5,1269.6,,1973.2,1989.7,,1290.8,1301.3,,682.5,688.3,824.6,243.3,581.3,,62.6,62.6,,70.1,70.1,,55.4,55.4,,148.9,165.5,,81.7,88.6,,67.1,76.9,99.4,62.0,37.4,66.1,26.6,39.5,,5.0,5.6,,5.0,5.4,,5.0,5.7,4.8,4.5,5.2,7.4,9.9,6.4,,2961.1,2979.7,,1625.4,1633.2,,1335.6,1346.5,,65.9,66.3,,73.8,74.1,,58.3,58.8,1513.5,570.3,943.2,4493.3,2203.6,2289.7
Mar-2011,,2817.5,2820.5,,1546.4,1548.8,,1271.1,1271.7,,1970.0,1968.9,,1288.9,1286.8,,681.1,682.1,851.6,262.0,589.6,,62.6,62.7,,70.1,70.2,,55.4,55.4,,129.9,139.5,,64.9,68.7,,65.0,70.7,89.0,50.8,38.2,50.5,18.0,32.5,,4.4,4.7,,4.0,4.2,,4.9,5.3,4.3,3.8,5.3,5.6,6.4,5.2,,2947.4,2959.9,,1611.3,1617.6,,1336.1,1342.4,,65.5,65.8,,73.0,73.3,,58.3,58.5,1540.5,589.3,951.2,4500.5,2206.9,2293.6
Apr-2011,,2801.4,2800.8,,1533.4,1534.6,,1268.0,1266.2,,1956.2,1946.0,,1275.6,1270.9,,680.6,675.0,854.8,263.7,591.2,,62.2,62.2,,69.4,69.5,,55.2,55.1,,139.3,143.3,,77.2,78.6,,62.2,64.8,99.3,58.9,40.4,44.0,19.7,24.4,,4.7,4.9,,4.8,4.9,,4.7,4.9,4.9,4.4,5.6,4.9,6.9,4.0,,2940.7,2944.1,,1610.5,1613.2,,1330.2,1331.0,,65.3,65.3,,72.9,73.0,,57.9,58.0,1561.5,596.1,965.4,4505.6,2209.3,2296.3
May-2011,,2807.0,2812.7,,1536.5,1539.1,,1270.4,1273.7,,1954.8,1954.5,,1276.5,1273.6,,678.3,680.9,858.2,265.4,592.8,,62.2,62.4,,69.5,69.6,,55.3,55.4,,153.9,152.9,,77.4,76.5,,76.5,76.4,102.7,60.7,42.0,50.2,15.7,34.4,,5.2,5.2,,4.8,4.7,,5.7,5.7,5.0,4.6,5.8,5.5,5.6,5.5,,2960.9,2965.6,,1613.9,1615.5,,1346.9,1350.1,,65.6,65.7,,73.0,73.0,,58.6,58.7,1545.2,596.2,949.0,4510.8,2211.8,2299.1
Jun-2011,,2827.7,2831.7,,1538.1,1539.5,,1289.6,1292.2,,1968.5,1956.3,,1278.5,1271.3,,690.0,685.0,875.4,268.2,607.2,,62.6,62.7,,69.5,69.5,,56.0,56.1,,138.2,132.2,,70.4,66.5,,67.8,65.7,89.5,52.0,37.5,42.7,14.5,28.2,,4.7,4.5,,4.4,4.1,,5.0,4.8,4.4,3.9,5.2,4.7,5.1,4.4,,2965.9,2963.9,,1608.5,1606.0,,1357.4,1357.9,,65.7,65.6,,72.6,72.5,,59.0,59.0,1552.1,608.2,943.9,4516.0,2214.2,2301.9
Jul-2011,,2808.0,2810.0,,1533.1,1533.0,,1275.0,1277.0,,1946.3,1942.5,,1271.9,1272.1,,674.4,670.4,867.5,261.0,606.5,,62.1,62.1,,69.1,69.1,,55.3,55.4,,153.5,145.3,,78.0,75.3,,75.4,69.9,97.2,57.7,39.5,48.1,17.7,30.4,,5.2,4.9,,4.8,4.7,,5.6,5.2,4.8,4.3,5.6,5.2,6.3,4.8,,2961.5,2955.3,,1611.1,1608.4,,1350.4,1346.9,,65.5,65.3,,72.6,72.5,,58.6,58.4,1568.5,609.6,958.9,4523.7,2218.0,2305.8
Aug-2011,,2811.9,2787.3,,1532.7,1520.6,,1279.3,1266.7,,1960.2,1941.6,,1275.6,1265.8,,684.6,675.8,845.7,254.7,591.0,,62.1,61.5,,69.0,68.5,,55.4,54.8,,152.8,148.6,,77.1,75.6,,75.6,73.0,102.1,58.1,44.0,46.5,17.6,28.9,,5.2,5.1,,4.8,4.7,,5.6,5.4,5.0,4.4,6.1,5.2,6.5,4.7,,2964.7,2935.9,,1609.8,1596.2,,1354.9,1339.7,,65.4,64.8,,72.5,71.9,,58.7,58.0,1594.5,624.7,969.9,4530.4,2220.9,2309.5
Sep-2011,,2821.5,2829.5,,1536.6,1539.5,,1284.9,1289.9,,1954.6,1978.7,,1268.1,1276.6,,686.5,702.1,850.8,263.0,587.8,,62.2,62.4,,69.1,69.2,,55.5,55.8,,158.5,159.6,,80.1,81.3,,78.4,78.2,104.2,60.0,44.2,55.4,21.4,34.0,,5.3,5.3,,5.0,5.0,,5.7,5.7,5.0,4.5,5.9,6.1,7.5,5.5,,2979.9,2989.0,,1616.7,1620.9,,1363.2,1368.1,,65.7,65.9,,72.7,72.9,,58.9,59.1,1548.1,602.9,945.1,4537.1,2223.8,2313.3
Oct-2011,,2823.4,2825.0,,1532.9,1532.9,,1290.4,1292.1,,1960.0,1951.8,,1275.3,1271.8,,684.6,680.0,873.2,261.0,612.2,,62.1,62.2,,68.8,68.8,,55.7,55.8,,161.0,152.6,,90.1,86.3,,70.9,66.3,110.2,67.0,43.2,42.4,19.4,23.1,,5.4,5.1,,5.5,5.3,,5.2,4.9,5.3,5.0,6.0,4.6,6.9,3.6,,2984.3,2977.6,,1623.0,1619.2,,1361.3,1358.4,,65.7,65.5,,72.9,72.7,,58.7,58.6,1567.4,608.5,958.9,4545.0,2227.7,2317.3
Nov-2011,,2814.7,2810.6,,1528.8,1525.2,,1285.9,1285.4,,1945.3,1948.0,,1263.0,1263.8,,682.4,684.2,862.7,261.5,601.2,,61.8,61.7,,68.5,68.3,,55.4,55.4,,160.3,147.6,,85.5,79.9,,74.8,67.8,107.8,62.4,45.4,39.9,17.5,22.4,,5.4,5.0,,5.3,5.0,,5.5,5.0,5.2,4.7,6.2,4.4,6.3,3.6,,2975.0,2958.3,,1614.3,1605.1,,1360.7,1353.2,,65.3,65.0,,72.3,71.9,,58.6,58.3,1594.5,626.4,968.1,4552.8,2231.5,2321.3
Dec-2011,,2811.2,2840.1,,1536.1,1553.2,,1275.1,1286.9,,1947.7,1980.9,,1268.6,1290.9,,679.1,690.0,859.2,262.3,596.9,,61.6,62.3,,68.7,69.5,,54.8,55.3,,154.1,149.3,,78.6,75.6,,75.5,73.8,100.6,56.5,44.1,48.7,19.1,29.6,,5.2,5.0,,4.9,4.6,,5.6,5.4,4.8,4.2,6.0,5.4,6.8,4.7,,2965.3,2989.4,,1614.7,1628.7,,1350.6,1360.6,,65.0,65.5,,72.2,72.9,,58.1,58.5,1571.3,606.7,964.6,4560.7,2235.4,2325.3
Jan-2012,,2818.7,2793.1,,1531.5,1523.0,,1287.3,1270.1,,1942.8,1936.6,,1269.5,1269.0,,673.2,667.7,856.5,254.0,602.4,,61.7,61.1,,68.4,68.0,,55.2,54.5,,148.9,160.8,,78.1,84.2,,70.8,76.6,117.1,68.6,48.5,43.7,15.7,28.0,,5.0,5.4,,4.9,5.2,,5.2,5.7,5.7,5.1,6.8,4.9,5.8,4.4,,2967.6,2953.9,,1609.6,1607.2,,1358.0,1346.7,,64.9,64.6,,71.9,71.8,,58.3,57.8,1616.0,632.7,983.3,4569.9,2239.9,2329.9
Feb-2012,,2803.4,2805.5,,1523.7,1524.7,,1279.7,1280.9,,1941.8,1957.7,,1264.6,1274.7,,677.3,683.0,847.8,249.9,597.9,,61.2,61.3,,67.9,67.9,,54.8,54.9,,164.2,181.9,,87.3,94.2,,77.0,87.8,122.1,71.2,50.9,59.8,23.0,36.8,,5.5,6.1,,5.4,5.8,,5.7,6.4,5.9,5.3,6.9,6.6,8.4,5.8,,2967.6,2987.5,,1611.0,1618.8,,1356.6,1368.6,,64.8,65.2,,71.8,72.1,,58.1,58.6,1591.6,625.7,966.0,4579.1,2244.5,2334.6
Mar-2012,,2822.9,2825.0,,1520.3,1522.7,,1302.6,1302.3,,1937.3,1937.1,,1261.5,1260.1,,675.8,677.1,887.9,262.6,625.2,,61.5,61.6,,67.6,67.7,,55.7,55.7,,174.9,188.0,,91.4,96.6,,83.6,91.3,126.8,72.3,54.5,61.1,24.3,36.8,,5.8,6.2,,5.7,6.0,,6.0,6.6,6.1,5.4,7.5,6.4,8.5,5.6,,2997.8,3013.0,,1611.7,1619.4,,1386.1,1393.6,,65.3,65.7,,71.7,72.0,,59.3,59.6,1575.3,629.7,945.6,4588.3,2249.1,2339.3
Apr-2012,,2848.3,2847.2,,1537.6,1538.6,,1310.7,1308.6,,1942.3,1932.8,,1267.2,1262.1,,675.1,670.7,914.4,276.4,638.0,,62.0,62.0,,68.3,68.3,,55.9,55.9,,159.5,163.7,,78.3,79.4,,81.2,84.3,112.2,62.6,49.6,51.5,16.8,34.8,,5.3,5.4,,4.8,4.9,,5.8,6.1,5.5,4.7,6.9,5.3,5.7,5.2,,3007.8,3010.9,,1615.9,1617.9,,1391.9,1392.9,,65.5,65.5,,71.7,71.8,,59.4,59.5,1584.5,634.7,949.8,4595.4,2252.7,2342.7
May-2012,,2856.1,2863.4,,1532.9,1535.9,,1323.2,1327.5,,1947.6,1947.8,,1259.8,1257.0,,687.8,690.8,915.6,278.9,636.7,,62.1,62.2,,67.9,68.1,,56.4,56.6,,167.8,166.4,,84.4,82.9,,83.5,83.5,115.9,63.4,52.6,50.5,19.5,31.0,,5.6,5.5,,5.2,5.1,,5.9,5.9,5.6,4.8,7.1,5.2,6.5,4.6,,3023.9,3029.8,,1617.3,1618.7,,1406.7,1411.1,,65.7,65.8,,71.7,71.7,,60.0,60.1,1572.6,637.5,935.1,4602.5,2256.3,2346.2
Jun-2012,,2856.4,2861.5,,1539.4,1541.7,,1316.9,1319.9,,1965.2,1954.8,,1275.7,1269.1,,689.5,685.7,906.8,272.6,634.1,,62.0,62.1,,68.1,68.2,,56.0,56.2,,167.4,159.7,,81.9,77.1,,85.5,82.6,112.4,59.1,53.3,47.4,18.0,29.3,,5.5,5.3,,5.1,4.8,,6.1,5.9,5.4,4.4,7.2,5.0,6.2,4.4,,3023.7,3021.3,,1621.3,1618.8,,1402.4,1402.5,,65.6,65.5,,71.7,71.6,,59.7,59.7,1588.3,641.1,947.2,4609.6,2259.9,2349.7
Jul-2012,,2849.3,2851.5,,1528.8,1529.1,,1320.5,1322.4,,1956.0,1951.3,,1268.0,1267.7,,688.0,683.6,900.2,261.4,638.8,,61.7,61.8,,67.5,67.5,,56.1,56.2,,162.6,154.3,,84.9,82.0,,77.7,72.2,107.7,65.7,42.0,46.5,16.4,30.2,,5.4,5.1,,5.3,5.1,,5.6,5.2,5.2,4.9,5.8,4.9,5.9,4.5,,3012.0,3005.7,,1613.7,1611.1,,1398.3,1394.6,,65.2,65.1,,71.3,71.2,,59.4,59.3,1611.6,652.7,959.0,4617.4,2263.8,2353.6
Aug-2012,,2837.5,2812.5,,1520.9,1508.9,,1316.5,1303.6,,1953.7,1933.7,,1261.3,1251.5,,692.4,682.2,878.8,257.4,621.4,,61.3,60.8,,67.1,66.5,,55.8,55.3,,168.0,164.3,,91.7,90.4,,76.3,73.9,121.9,74.5,47.4,42.4,15.9,26.5,,5.6,5.5,,5.7,5.7,,5.5,5.4,5.9,5.6,6.5,4.6,5.8,4.1,,3005.5,2976.8,,1612.6,1599.3,,1392.8,1377.5,,65.0,64.4,,71.1,70.5,,59.1,58.4,1648.5,668.4,980.0,4625.2,2267.7,2357.5
Sep-2012,,2856.4,2863.6,,1533.3,1534.8,,1323.1,1328.8,,1955.7,1979.2,,1266.7,1274.5,,689.0,704.7,884.5,260.3,624.1,,61.7,61.8,,67.5,67.6,,56.0,56.3,,170.7,171.8,,92.6,94.1,,78.1,77.7,120.8,75.6,45.3,51.0,18.6,32.5,,5.6,5.7,,5.7,5.8,,5.6,5.5,5.8,5.6,6.0,5.5,6.7,4.9,,3027.2,3035.5,,1626.0,1628.9,,1401.2,1406.5,,65.3,65.5,,71.6,71.7,,59.3,59.6,1597.6,642.6,954.9,4633.0,2271.6,2361.4
Oct-2012,,2852.8,2854.6,,1548.1,1548.1,,1304.7,1306.5,,1962.8,1957.0,,1270.6,1267.5,,692.1,689.5,897.6,280.6,617.0,,61.5,61.5,,68.0,68.0,,55.2,55.2,,165.4,156.6,,82.7,79.4,,82.8,77.2,110.7,64.6,46.2,45.8,14.8,31.0,,5.5,5.2,,5.1,4.9,,6.0,5.6,5.4,4.8,6.3,4.9,5.0,4.8,,3018.2,3011.1,,1630.8,1627.4,,1387.5,1383.7,,65.0,64.9,,71.7,71.5,,58.7,58.5,1629.6,647.9,981.7,4640.7,2275.4,2365.4
Nov-2012,,2843.0,2840.1,,1533.7,1530.5,,1309.3,1309.7,,1953.0,1957.0,,1275.3,1277.3,,677.7,679.7,883.1,253.2,630.0,,61.2,61.1,,67.3,67.2,,55.3,55.3,,162.2,150.1,,82.6,78.0,,79.6,72.1,101.8,59.5,42.3,48.3,18.4,29.9,,5.4,5.0,,5.1,4.8,,5.7,5.2,4.9,4.5,5.9,5.2,6.8,4.5,,3005.2,2990.2,,1616.3,1608.4,,1388.9,1381.8,,64.7,64.3,,70.9,70.6,,58.6,58.3,1658.2,670.7,987.5,4648.4,2279.1,2369.3
Dec-2012,,2856.8,2886.0,,1549.3,1566.4,,1307.5,1319.6,,1958.8,1992.1,,1275.3,1298.1,,683.5,694.0,893.9,268.3,625.6,,61.4,62.0,,67.9,68.6,,55.1,55.6,,171.5,165.9,,89.0,85.1,,82.5,80.8,114.8,63.5,51.3,51.1,21.7,29.5,,5.7,5.4,,5.4,5.2,,5.9,5.8,5.4,4.7,6.9,5.4,7.5,4.5,,3028.3,3051.9,,1638.3,1651.6,,1390.0,1400.3,,65.0,65.5,,71.8,72.3,,58.6,59.0,1604.2,631.4,972.9,4656.1,2282.9,2373.2
Jan-2013,,2842.0,2813.1,,1538.3,1528.0,,1303.7,1285.0,,1959.8,1945.2,,1275.1,1270.9,,684.8,674.3,867.9,257.2,610.7,,60.9,60.3,,67.2,66.8,,54.8,54.0,,179.9,194.8,,98.5,106.6,,81.4,88.2,134.2,79.7,54.5,60.6,26.9,33.8,,6.0,6.5,,6.0,6.5,,5.9,6.4,6.5,5.9,7.5,6.5,9.5,5.2,,3021.9,3007.9,,1636.8,1634.6,,1385.1,1373.3,,64.8,64.5,,71.6,71.5,,58.2,57.7,1657.7,652.9,1004.8,4665.6,2287.5,2378.1
Feb-2013,,2862.9,2864.3,,1542.5,1543.0,,1320.4,1321.3,,1945.4,1961.0,,1258.0,1267.9,,687.4,693.1,903.3,275.1,628.2,,61.2,61.3,,67.3,67.3,,55.4,55.4,,171.3,189.5,,86.7,93.4,,84.7,96.1,123.0,67.4,55.6,66.5,26.0,40.5,,5.6,6.2,,5.3,5.7,,6.0,6.8,5.9,5.0,7.4,6.9,8.6,6.0,,3034.2,3053.8,,1629.1,1636.4,,1405.1,1417.4,,64.9,65.3,,71.1,71.4,,59.0,59.5,1621.3,655.7,965.6,4675.1,2292.1,2383.0
Mar-2013,,2855.3,2857.2,,1543.0,1545.4,,1312.3,1311.8,,1957.2,1958.2,,1279.8,1279.1,,677.5,679.1,899.0,266.3,632.7,,61.0,61.0,,67.2,67.3,,55.0,54.9,,173.0,185.7,,92.4,97.6,,80.7,88.1,128.7,76.7,52.0,57.0,20.9,36.1,,5.7,6.1,,5.6,5.9,,5.8,6.3,6.2,5.7,7.1,6.0,7.3,5.4,,3028.4,3042.9,,1635.4,1643.0,,1393.0,1399.9,,64.6,65.0,,71.2,71.5,,58.3,58.6,1641.7,653.8,987.9,4684.6,2296.7,2387.9
Apr-2013,,2870.8,2868.8,,1544.4,1545.0,,1326.4,1323.8,,1967.8,1959.0,,1277.2,1271.7,,690.6,687.3,909.8,273.3,636.4,,61.2,61.1,,67.1,67.2,,55.5,55.3,,180.3,184.2,,95.8,96.7,,84.5,87.5,133.1,77.3,55.8,51.1,19.3,31.7,,5.9,6.0,,5.8,5.9,,6.0,6.2,6.4,5.7,7.5,5.3,6.6,4.7,,3051.0,3053.0,,1640.2,1641.7,,1410.9,1411.3,,65.0,65.1,,71.3,71.4,,59.0,59.0,1639.2,658.8,980.4,4692.2,2300.5,2391.7
May-2013,,2873.4,2882.1,,1552.4,1556.0,,1321.0,1326.2,,1962.6,1962.6,,1274.2,1271.3,,688.4,691.3,919.6,284.7,634.9,,61.1,61.3,,67.4,67.5,,55.1,55.4,,170.4,168.3,,92.6,90.3,,77.8,78.0,119.3,73.4,45.9,49.0,16.9,32.1,,5.6,5.5,,5.6,5.5,,5.6,5.6,5.7,5.5,6.2,5.1,5.6,4.8,,3043.8,3050.4,,1644.9,1646.2,,1398.9,1404.2,,64.8,64.9,,71.4,71.4,,58.4,58.6,1649.3,658.0,991.3,4699.8,2304.3,2395.5
Jun-2013,,2897.7,2904.3,,1558.2,1561.5,,1339.4,1342.8,,1953.7,1944.9,,1272.2,1266.3,,681.5,678.6,959.5,295.2,664.2,,61.6,61.7,,67.5,67.7,,55.8,56.0,,182.5,173.3,,103.5,97.1,,79.0,76.3,126.9,78.0,48.9,46.4,19.1,27.3,,5.9,5.6,,6.2,5.9,,5.6,5.4,6.1,5.8,6.7,4.6,6.1,4.0,,3080.1,3077.7,,1661.7,1658.6,,1418.5,1419.1,,65.4,65.4,,72.0,71.9,,59.1,59.1,1629.7,649.5,980.3,4707.4,2308.0,2399.3
Jul-2013,,2886.4,2888.7,,1550.7,1551.5,,1335.7,1337.2,,1963.0,1958.5,,1276.2,1275.5,,686.8,683.0,930.2,276.1,654.1,,61.2,61.3,,67.1,67.1,,55.6,55.6,,172.9,164.8,,95.4,92.4,,77.5,72.3,122.2,75.6,46.6,42.6,16.8,25.8,,5.7,5.4,,5.8,5.6,,5.5,5.1,5.9,5.6,6.4,4.4,5.7,3.8,,3059.3,3053.4,,1646.2,1644.0,,1413.2,1409.5,,64.9,64.7,,71.2,71.1,,58.8,58.6,1662.5,668.0,994.5,4715.9,2312.0,2403.9
Aug-2013,,2884.7,2859.3,,1552.3,1539.9,,1332.5,1319.4,,1966.1,1944.8,,1282.0,1272.1,,684.1,672.7,914.5,267.8,646.7,,61.1,60.5,,67.0,66.5,,55.3,54.8,,177.3,173.7,,97.6,96.6,,79.7,77.1,126.1,78.5,47.6,47.6,18.2,29.4,,5.8,5.7,,5.9,5.9,,5.6,5.5,6.1,5.8,6.6,4.9,6.4,4.4,,3062.1,3033.0,,1649.9,1636.5,,1412.2,1396.4,,64.8,64.2,,71.2,70.7,,58.6,58.0,1691.5,679.4,1012.1,4724.5,2315.9,2408.5
Sep-2013,,2881.9,2888.2,,1551.9,1552.1,,1330.0,1336.1,,1970.1,1992.4,,1283.5,1291.1,,686.5,701.3,895.9,261.0,634.9,,60.9,61.0,,66.9,66.9,,55.1,55.4,,179.8,180.8,,93.1,94.5,,86.7,86.3,121.9,71.2,50.7,58.9,23.4,35.6,,5.9,5.9,,5.7,5.7,,6.1,6.1,5.8,5.2,6.7,6.2,8.2,5.3,,3061.7,3069.1,,1645.0,1646.7,,1416.7,1422.4,,64.7,64.8,,70.9,71.0,,58.7,58.9,1663.9,673.2,990.7,4733.0,2319.9,2413.1
Oct-2013,,2891.5,2892.3,,1556.1,1555.5,,1335.4,1336.8,,1977.5,1973.3,,1280.6,1277.6,,696.9,695.7,918.9,277.8,641.1,,61.0,61.0,,67.0,67.0,,55.2,55.3,,189.3,179.4,,104.3,100.4,,85.0,79.0,133.1,81.9,51.2,46.3,18.5,27.8,,6.1,5.8,,6.3,6.1,,6.0,5.6,6.3,6.0,6.9,4.8,6.2,4.2,,3080.8,3071.7,,1660.4,1655.9,,1420.4,1415.8,,65.0,64.8,,71.5,71.3,,58.8,58.6,1668.5,667.1,1001.4,4740.1,2323.0,2417.2
Nov-2013,,2886.4,2884.0,,1551.0,1547.6,,1335.4,1336.4,,1979.1,1984.0,,1284.4,1287.0,,694.7,697.0,900.0,260.6,639.4,,60.8,60.8,,66.7,66.5,,55.2,55.2,,190.1,177.1,,103.9,98.7,,86.2,78.4,133.8,82.6,51.2,43.2,16.1,27.2,,6.2,5.8,,6.3,6.0,,6.1,5.5,6.3,6.0,6.8,4.6,5.8,4.1,,3076.5,3061.0,,1654.8,1646.3,,1421.7,1414.8,,64.8,64.5,,71.1,70.8,,58.7,58.4,1686.2,679.8,1006.5,4747.3,2326.0,2421.2
Dec-2013,,2869.4,2899.1,,1547.7,1564.7,,1321.7,1334.4,,1951.4,1984.7,,1271.9,1295.1,,679.5,689.6,914.4,269.6,644.8,,60.4,61.0,,66.5,67.2,,54.5,55.0,,192.0,185.6,,102.3,97.8,,89.7,87.8,132.9,78.0,54.9,52.7,19.8,32.8,,6.3,6.0,,6.2,5.9,,6.4,6.2,6.3,5.7,7.4,5.4,6.9,4.8,,3061.5,3084.7,,1650.0,1662.5,,1411.4,1422.2,,64.4,64.9,,70.8,71.4,,58.2,58.6,1669.7,666.6,1003.1,4754.4,2329.1,2425.3
Jan-2014,,2882.5,2859.5,,1548.1,1544.2,,1334.4,1315.2,,1961.1,1956.2,,1267.8,1268.1,,693.3,688.1,903.2,276.1,627.1,,60.5,60.0,,66.3,66.2,,54.9,54.1,,195.6,212.2,,104.3,113.3,,91.4,98.9,160.3,93.4,66.9,51.9,19.8,32.1,,6.4,6.9,,6.3,6.8,,6.4,7.0,7.6,6.9,8.9,5.4,6.7,4.9,,3078.1,3071.7,,1652.4,1657.5,,1425.8,1414.2,,64.6,64.5,,70.8,71.0,,58.7,58.2,1693.0,676.7,1016.3,4764.6,2334.2,2430.5
Feb-2014,,2868.0,2876.3,,1541.7,1552.1,,1326.3,1324.2,,1950.9,1983.7,,1266.2,1284.3,,684.7,699.5,892.5,267.8,624.7,,60.1,60.2,,65.9,66.3,,54.5,54.4,,194.6,223.0,,98.7,107.6,,95.9,115.4,145.4,82.3,63.2,77.5,25.4,52.2,,6.4,7.2,,6.0,6.5,,6.7,8.0,6.8,6.0,8.3,8.0,8.7,7.7,,3062.6,3099.3,,1640.3,1659.7,,1422.3,1439.6,,64.1,64.9,,70.1,70.9,,58.4,59.1,1675.6,679.6,996.0,4774.9,2339.3,2435.6
Mar-2014,,2876.8,2878.8,,1543.9,1546.5,,1332.9,1332.2,,1958.8,1961.7,,1260.5,1261.0,,698.3,700.8,917.1,285.6,631.5,,60.1,60.2,,65.9,66.0,,54.6,54.6,,200.0,214.4,,103.7,109.2,,96.3,105.2,145.2,82.0,63.3,69.2,27.2,41.9,,6.5,6.9,,6.3,6.6,,6.7,7.3,6.9,6.1,8.3,7.0,8.7,6.2,,3076.8,3093.2,,1647.6,1655.7,,1429.2,1437.5,,64.3,64.6,,70.3,70.6,,58.6,58.9,1691.9,688.6,1003.3,4785.1,2344.4,2440.7
Apr-2014,,2877.0,2874.7,,1551.6,1551.9,,1325.4,1322.9,,1981.0,1972.8,,1280.3,1274.2,,700.7,698.6,901.9,277.7,624.2,,60.0,60.0,,66.1,66.1,,54.2,54.1,,198.8,203.0,,105.5,106.2,,93.4,96.7,141.2,83.2,58.0,61.8,23.1,38.7,,6.5,6.6,,6.4,6.4,,6.6,6.8,6.7,6.1,7.7,6.4,7.7,5.8,,3075.9,3077.7,,1657.1,1658.1,,1418.7,1419.6,,64.2,64.2,,70.6,70.6,,58.0,58.1,1714.1,689.5,1024.6,4791.8,2347.7,2444.2
May-2014,,2898.7,2909.3,,1556.5,1561.1,,1342.2,1348.2,,1975.9,1975.8,,1273.6,1270.9,,702.3,704.9,933.5,290.2,643.3,,60.4,60.6,,66.2,66.4,,54.8,55.1,,192.7,189.8,,94.8,91.7,,98.0,98.1,124.2,67.7,56.5,65.5,24.0,41.5,,6.2,6.1,,5.7,5.5,,6.8,6.8,5.9,5.1,7.4,6.6,7.6,6.1,,3091.4,3099.1,,1651.3,1652.8,,1440.1,1446.3,,64.4,64.6,,70.2,70.3,,58.8,59.1,1699.5,698.2,1001.3,4798.6,2350.9,2447.6
Jun-2014,,2889.1,2896.7,,1553.5,1557.7,,1335.6,1339.0,,1976.8,1968.3,,1267.3,1261.9,,709.5,706.4,928.3,295.7,632.6,,60.1,60.3,,66.0,66.2,,54.5,54.6,,204.3,193.8,,111.4,104.2,,92.8,89.6,138.4,80.9,57.5,55.4,23.3,32.1,,6.6,6.3,,6.7,6.3,,6.5,6.3,6.6,6.0,7.5,5.6,7.3,4.8,,3093.4,3090.5,,1664.9,1661.9,,1428.5,1428.6,,64.4,64.3,,70.7,70.6,,58.3,58.3,1714.8,692.3,1022.5,4805.3,2354.2,2451.1
